title,experience,salary,location,job_type,url,company,description,posted_date,company_logo,apply_link,country,source,ingestion_timestamp
Audit Manager 1,,£350K - £600K(Employer Est.),"Derby, England",Standard,"https://www.glassdoor.co.uk/job-listing/audit-manager-1-cooper-parry-JV_IC2662625_KO0,15_KE16,28.htm?jl=1009712217159",Cooper Parry,"A flexible approach to work - balancing working from home, in office or with clients. ACA/ACCA qualified with previous experience working at a managerial level…...Skills:IT",5d,https://media.glassdoor.com/sql/1836976/pkf-cooper-parry-squarelogo-1554987542753.png,"https://www.glassdoor.co.uk/job-listing/audit-manager-1-cooper-parry-JV_IC2662625_KO0,15_KE16,28.htm?jl=1009712217159",UK,glassdoor,2025-04-22T02:57:36.210580
Service Manager - OPPD,,£58K - £72K(Employer Est.),"London, England",Standard,"https://www.glassdoor.co.uk/job-listing/service-manager-oppd-southwark-council-JV_IC2671300_KO0,20_KE21,38.htm?jl=1009701987989",Southwark Council,"Enhancing partnership working with the NHS, voluntary organisations, and local community groups to improve outcomes....",13d,https://media.glassdoor.com/sql/451540/southwark-council-squareLogo-1707483892758.png,"https://www.glassdoor.co.uk/job-listing/service-manager-oppd-southwark-council-JV_IC2671300_KO0,20_KE21,38.htm?jl=1009701987989",UK,glassdoor,2025-04-22T02:57:36.292871
2nd Line Network Engineer,,£38K - £42K(Employer Est.),"London, England",Standard,"https://www.glassdoor.co.uk/job-listing/2nd-line-network-engineer-fortray-global-services-ltd-JV_IC2671300_KO0,25_KE26,53.htm?jl=1009040562169",Fortray Global Services Ltd,"In a vibrant shared environment, helping their customers with their day-to-day issues providing a range of support functions that in turn help deliver their…...Skills:OSPF, Network infrastructure, Firewall, BGP, Computer networking",30d+,N/A,"https://www.glassdoor.co.uk/job-listing/2nd-line-network-engineer-fortray-global-services-ltd-JV_IC2671300_KO0,25_KE26,53.htm?jl=1009040562169",UK,glassdoor,2025-04-22T02:57:36.315312
Recruitment Consultant - Energy,,£27K - £30K(Employer Est.),"Whiteley, England",Standard,"https://www.glassdoor.co.uk/job-listing/recruitment-consultant-energy-gattaca-plc-JV_IC4030275_KO0,29_KE30,41.htm?jl=1009680410654",Gattaca Plc,"You will be working with clients across the UK focusing on the site resource such as design engineers, overhead line, tendering and quantity surveyors....Skills:Customer service, Communication skills, Negotiation",30d+,https://media.glassdoor.com/sql/765844/matchtech-group-squarelogo-1468850035385.png,"https://www.glassdoor.co.uk/job-listing/recruitment-consultant-energy-gattaca-plc-JV_IC4030275_KO0,29_KE30,41.htm?jl=1009680410654",UK,glassdoor,2025-04-22T02:57:36.330432
Project Manager (Civils Projects),,£250K - £600K(Employer Est.),"Sheffield, England",Standard,"https://www.glassdoor.co.uk/job-listing/project-manager-civils-projects-construction-marine-limited-JV_IC3414736_KO0,31_KE32,59.htm?jl=1009681456780",Construction Marine Limited,"Our busy and fast-paced department is engaged in various infrastructure projects and framework contracts across rail engineering environments....Skills:Programme management, Management, Customer relationship management, Computer networking",30d+,https://media.glassdoor.com/sql/4475249/construction-marine-squarelogo-1625565865294.png,"https://www.glassdoor.co.uk/job-listing/project-manager-civils-projects-construction-marine-limited-JV_IC3414736_KO0,31_KE32,59.htm?jl=1009681456780",UK,glassdoor,2025-04-22T02:57:36.382314
Facilities Maintenance Operative,,£31K(Employer Est.),"London, England",Easy Apply,"https://www.glassdoor.co.uk/job-listing/facilities-maintenance-operative-little-sisters-of-the-poor-JV_IC2671300_KO0,32_KE33,59.htm?jl=1009699143517",Little Sisters of The Poor,"You will provide excellent customer service, liaise with employees, Residents and contractors, and take pride in maintaining our Care Home to an outstanding…...Skills:Maintenance, Electrical experience, Mechanical knowledge",17d,https://media.glassdoor.com/sql/707970/little-sisters-of-the-poor-squareLogo-1704268686856.png,"https://www.glassdoor.co.uk/job-listing/facilities-maintenance-operative-little-sisters-of-the-poor-JV_IC2671300_KO0,32_KE33,59.htm?jl=1009699143517",UK,glassdoor,2025-04-22T02:57:36.394893
Consultant Gynaecologist,,N/A,"Sheffield, England",Standard,"https://www.glassdoor.co.uk/job-listing/consultant-gynaecologist-dmc-healthcare-JV_IC3414736_KO0,24_KE25,39.htm?jl=1009517197566",DMC Healthcare,"DMC Healthcare is a leading independent provider of primary care, consultant-led dermatology, radiology reporting, in-sourced routine endoscopy services and MSK…...Skills:Patient care, Communication skills",30d+,https://media.glassdoor.com/sql/336498/dmc-healthcare-squarelogo-1532593111404.png,"https://www.glassdoor.co.uk/job-listing/consultant-gynaecologist-dmc-healthcare-JV_IC3414736_KO0,24_KE25,39.htm?jl=1009517197566",UK,glassdoor,2025-04-22T02:57:36.471321
"Ear, Nose and Throat (ENT) Consultant - Outpatients clinic",,N/A,"Kingston upon Hull, England",Standard,"https://www.glassdoor.co.uk/job-listing/ear-nose-and-throat-ent-consultant-outpatients-clinic-dmc-healthcare-JV_IC3252741_KO0,53_KE54,68.htm?jl=1009653750376",DMC Healthcare,"DMC Healthcare is a leading independent provider of primary care, consultant-led dermatology, radiology reporting, in-sourced routine endoscopy services and MSK…...Skills:Patient care",30d+,https://media.glassdoor.com/sql/336498/dmc-healthcare-squarelogo-1532593111404.png,"https://www.glassdoor.co.uk/job-listing/ear-nose-and-throat-ent-consultant-outpatients-clinic-dmc-healthcare-JV_IC3252741_KO0,53_KE54,68.htm?jl=1009653750376",UK,glassdoor,2025-04-22T02:57:36.479443
Estates Manager (Projects),,£42K - £45K(Employer Est.),"London, England",Standard,"https://www.glassdoor.co.uk/job-listing/estates-manager-projects-somerset-house-trust-JV_IC2671300_KO0,24_KE25,45.htm?jl=1009713577374",Somerset House Trust,"Where candidates are equally qualified, we will seek to prioritise diversity to help us increase representation across the creative economy and the Trust....Skills:Microsoft Word, AutoCAD, Microsoft Excel, Microsoft Office, Revit",4d,https://media.glassdoor.com/sql/662506/somerset-house-squarelogo-1578574718240.png,"https://www.glassdoor.co.uk/job-listing/estates-manager-projects-somerset-house-trust-JV_IC2671300_KO0,24_KE25,45.htm?jl=1009713577374",UK,glassdoor,2025-04-22T02:57:36.504488
Scheme Project Manager (Civils),,£250K - £600K(Employer Est.),"Sheffield, England",Standard,"https://www.glassdoor.co.uk/job-listing/scheme-project-manager-civils-construction-marine-limited-JV_IC3414736_KO0,29_KE30,57.htm?jl=1009681456771",Construction Marine Limited,"Our busy and fast-paced department is engaged in various infrastructure projects and framework contracts across rail engineering environments....Skills:Programme management, Management, Computer networking",30d+,https://media.glassdoor.com/sql/4475249/construction-marine-squarelogo-1625565865294.png,"https://www.glassdoor.co.uk/job-listing/scheme-project-manager-civils-construction-marine-limited-JV_IC3414736_KO0,29_KE30,57.htm?jl=1009681456771",UK,glassdoor,2025-04-22T02:57:36.523594
