job_title,experience,salary,location,job_type,url,company_name,description,posted_date,company_logo,apply_link,country,source,ingestion_timestamp
Mortgage Advisor,,"£35,000 - £70,000...",Nationwide,,https://www.cv-library.co.uk/job/223058517,Openwork Services Limited,"Retail Shift Manager. Summary. £14.65 - £15.15 per hour | 35 hour contract | 30-35 days holiday (pro rata) | 10% in-store discount | Enhanced family leave. Everyone who works at Lidl brings something unique to the table - but we also have a whole lot in common. We're reliable, organised and ready …more",,https://www.cv-library.co.uk/logo/small/7ed41d662be446dd926d6518d799b1d4,https://www.cv-library.co.uk/register/apply?autoapply=223058517,UK,cv_library,2025-04-22T02:28:45.381350
Mortgage Advisor,,"£35,000 - £70,000...",Nationwide,,https://www.cv-library.co.uk/job/223058517,Openwork Services Limited,"Retail Shift Manager. Summary. £14.65 - £15.15 per hour | 35 hour contract | 30-35 days holiday (pro rata) | 10% in-store discount | Enhanced family leave. Everyone who works at Lidl brings something unique to the table - but we also have a whole lot in common. We're reliable, organised and ready …more",,https://www.cv-library.co.uk/logo/small/7ed41d662be446dd926d6518d799b1d4,https://www.cv-library.co.uk/register/apply?autoapply=223058517,UK,cv_library,2025-04-22T02:28:45.403350
Mortgage Advisor,,"£35,000 - £70,000/annum",Nationwide,Permanent,https://www.cv-library.co.uk/job/223058517,Openwork Services Limited,"Retail Shift Manager. Summary. £14.65 - £15.15 per hour | 35 hour contract | 30-35 days holiday (pro rata) | 10% in-store discount | Enhanced family leave. Everyone who works at Lidl brings something unique to the table - but we also have a whole lot in common. We're reliable, organised and ready …more",2025-04-21T19:56:30Z,https://www.cv-library.co.uk/logo/big/53815e76c562480aa0c99e9cf0fac5ff,https://www.cv-library.co.uk/register/apply?autoapply=223058517,UK,cv_library,2025-04-22T02:28:46.976259
Shakespeare Curriculum Product Manager,,,CV34,,https://www.cv-library.co.uk/job/223354777,Royal Shakespeare Company,"Customer Assistant. Summary. £12.75 - £13.65 per hour | 30 hour contract | various shifts | 30-35 days' holiday (pro rata) | 10% in-store discount | Pension scheme. Everyone who works at Lidl brings something unique to the table - but we also have a whole lot in common. We're collaborative, …more",,https://www.cv-library.co.uk/logo/small/6ada1a0d68ed4e1f8b0f7c783f7aaf86,https://www.cv-library.co.uk/job/223354777/Shakespeare-Curriculum-Product-Manager,UK,cv_library,2025-04-22T02:28:55.941736
Shakespeare Curriculum Product Manager,,,CV34,,https://www.cv-library.co.uk/job/223354777,Royal Shakespeare Company,"Customer Assistant. Summary. £12.75 - £13.65 per hour | 30 hour contract | various shifts | 30-35 days' holiday (pro rata) | 10% in-store discount | Pension scheme. Everyone who works at Lidl brings something unique to the table - but we also have a whole lot in common. We're collaborative, …more",,https://www.cv-library.co.uk/logo/small/6ada1a0d68ed4e1f8b0f7c783f7aaf86,https://www.cv-library.co.uk/job/223354777/Shakespeare-Curriculum-Product-Manager,UK,cv_library,2025-04-22T02:28:55.950737
Product Owner,,,Fleet,,https://www.cv-library.co.uk/job/223217172,CV-Library Ltd,"Are you ready for a new challenge, and want to be rewarded for your efforts. Are you a care assistant with a natural person-centred approach with a desire to enable those who you support to achieve greater independence? We are currently working on behalf of a specialist care organisation who are …more",,https://www.cv-library.co.uk/logo/small/a70a7816f00a47d8b160e7a5f07b131e,https://www.cv-library.co.uk/job/223217172/Product-Owner,UK,cv_library,2025-04-22T02:28:59.679137
First Aid Trainer- Cambridge,,"£22,575/annum",Cardiff,Permanent,https://www.cv-library.co.uk/job/223369452,Brook Street,"Are you ready for a new challenge, and want to be rewarded for your efforts. Are you a care assistant with a natural person-centred approach with a desire to enable those who you support to achieve greater independence? We are currently working on behalf of a specialist care organisation who are …more",2025-04-21T07:09:10Z,https://www.cv-library.co.uk/logo/big/4d1d54efe5d642ea9d6ff65fb073cdb4,https://www.cv-library.co.uk/job/223369452/First-Aid-Trainer-Cambridge,UK,cv_library,2025-04-22T02:29:03.592973
Network Insights Manager,,,London,Permanent,https://www.cv-library.co.uk/job/223368929,UK Power Networks (Operations) Ltd,"Ideas | People | Trust.. We're BDO. An accountancy and business advisory firm, providing the advice and solutions entrepreneurial organisations need to navigate today's changing world.. We work with the companies that are Britain's economic engine – ambitious, entrepreneurially-spirited and …more",2025-04-21T01:01:39Z,https://www.cv-library.co.uk/logo/big/95262c20acbb4734ba111c3b59c84ad3,https://www.cv-library.co.uk/job/223368929/Network-Insights-Manager,UK,cv_library,2025-04-22T02:29:05.915882
Social Media Specialist,,,London,Permanent,https://www.cv-library.co.uk/job/223368677,UK Power Networks (Operations) Ltd,"To restore, not replace — providing premium, eco-friendly bath restoration services that help customers make sustainable choices. We work with some of the UK's leading hospitality brands and private clients. Our work helps reduce waste and lower our customers' carbon footprints — all while …more",2025-04-20T01:00:14Z,https://www.cv-library.co.uk/logo/big/95262c20acbb4734ba111c3b59c84ad3,https://www.cv-library.co.uk/job/223368677/Social-Media-Specialist,UK,cv_library,2025-04-22T02:29:06.113945
Supplier Manager,,,NN1 3QS,Permanent,https://www.cv-library.co.uk/job/223368500,Barclays Bank PLC,"Job Role: Print Assistant - (Full-time and Permanent. Pay Rate: £11.44-£12.72 per hour + weekly shift supplement dependent on shift pattern (£20, £100.62 OR £89.25 per week extra. Shift Pattern: 4/4 Days OR 4/4 Nights OR Continentals (mixture of days and nights) - All 12 hour shifts, 6-6. Job …more",2025-04-19T04:07:15Z,,https://www.cv-library.co.uk/job/223368500/Supplier-Manager,UK,cv_library,2025-04-22T02:29:04.399114
Shakespeare Curriculum Product Manager,,,CV34,,https://www.cv-library.co.uk/job/223354777,Royal Shakespeare Company,"Are you an ambitious 4 year+ PQE Private Client Solicitor looking seeking a new challenge with a well-established Legal 500 firm. Our client, a reputable Legal 500 Firm, is actively seeking a skilled Solicitor to join their Wills and Probate team. This is an excellent opportunity to step into a …more",,https://www.cv-library.co.uk/logo/small/6ada1a0d68ed4e1f8b0f7c783f7aaf86,https://www.cv-library.co.uk/job/223354777/Shakespeare-Curriculum-Product-Manager,UK,cv_library,2025-04-22T02:29:03.518968
