title,experience,salary,location,job_type,url,company,description,posted_date,company_logo,apply_link,country,source,ingestion_timestamp
In Work Support Worker (Job Coach),,£15/hour,London,,https://www.cv-library.co.uk/job/223328550,Action on Disability,"Position: Part Time Customer Support Advisor at Trinity Estates. Location: Hemel Hempstead, Head Office. Working Hours: 09:00 – 17:15, ( Part Time hours during these core hours. Salary: Pro Rata £23,700 per annum. About Trinity Estates. Trinity are one of the largest residential property management …more",,https://www.cv-library.co.uk/logo/small/ef6d885032dc470880b721ebfa84e898,https://www.cv-library.co.uk/register/apply?autoapply=223341005,UK,cv_library,2025-04-13T14:20:38.008122
Sourcing Manager,,,WA16 6EZ,,https://www.cv-library.co.uk/job/223328068,Barclays Bank PLC,"Position: Part Time Customer Support Advisor at Trinity Estates. Location: Hemel Hempstead, Head Office. Working Hours: 09:00 – 17:15, ( Part Time hours during these core hours. Salary: Pro Rata £23,700 per annum. About Trinity Estates. Trinity are one of the largest residential property management …more",,https://www.cv-library.co.uk/logo/small/87b0f0f4e0454b8f84d9dec499dfeb57,https://www.cv-library.co.uk/register/apply?autoapply=223341005,UK,cv_library,2025-04-13T14:20:38.163872
Lecturer in Sports Therapy (HE),,"£38,249 - £42,882/annum","Birmingham, West Midlands (County)",Permanent,https://www.cv-library.co.uk/job/223340953,University College Birmingham,"Position: Part Time Customer Support Advisor at Trinity Estates. Location: Hemel Hempstead, Head Office. Working Hours: 09:00 – 17:15, ( Part Time hours during these core hours. Salary: Pro Rata £23,700 per annum. About Trinity Estates. Trinity are one of the largest residential property management …more",2025-04-11T15:43:17Z,https://www.cv-library.co.uk/logo/big/189f66da266643c5a730e1fac837ed3b,https://www.cv-library.co.uk/register/apply?autoapply=223341005,UK,cv_library,2025-04-13T14:20:40.898481
Recruitment Delivery Consultant,,"£26,000 - £28,000/annum","Southampton, Hampshire",Permanent,https://www.cv-library.co.uk/job/223340927,Prospero Group,"Position: Part Time Customer Support Advisor at Trinity Estates. Location: Hemel Hempstead, Head Office. Working Hours: 09:00 – 17:15, ( Part Time hours during these core hours. Salary: Pro Rata £23,700 per annum. About Trinity Estates. Trinity are one of the largest residential property management …more",2025-04-11T15:40:33Z,https://www.cv-library.co.uk/logo/big/a79962c77ad34526beffb856f04d8337,https://www.cv-library.co.uk/register/apply?autoapply=223341005,UK,cv_library,2025-04-13T14:20:43.008544
Physical Health Nurse,,"£36,500/yearly",EX15 1EA,Permanent,https://www.cv-library.co.uk/job/223341137,Elysium Healthcare,"Our client is market leader within the care industry and work with 43 local authorities and county councils, and provide direct services to HM Government Home Office. They have become the provider of choice to so many local authorities UK wide and continue to set uprecedented care standards within …more",2025-04-11T16:08:32Z,https://www.cv-library.co.uk/logo/big/0133b985d4c34dc1ac65e1e39879f40b,https://www.cv-library.co.uk/job/223341237/Team-Leader-Children-s-Care-Home/apply,UK,cv_library,2025-04-13T14:20:48.834802
Bank Nurse,,£17.87/hourly,NP4 0AH,Permanent,https://www.cv-library.co.uk/job/223341138,Elysium Healthcare,"Our client is market leader within the care industry and work with 43 local authorities and county councils, and provide direct services to HM Government Home Office. They have become the provider of choice to so many local authorities UK wide and continue to set uprecedented care standards within …more",2025-04-11T16:08:32Z,https://www.cv-library.co.uk/logo/big/0133b985d4c34dc1ac65e1e39879f40b,https://www.cv-library.co.uk/job/223341237/Team-Leader-Children-s-Care-Home/apply,UK,cv_library,2025-04-13T14:20:48.911416
Support Worker,,£12.45/hour,CT13 0AW,,https://www.cv-library.co.uk/job/223215403,Turning Point,"Field Service Engineer, Medical X-Ray & CT Systems. Overall Earnings £55,000 to £60,000 (Including Bonus and Overtime. Basic Salary £40,000 to £45,000. Door to Door Overtime. 10% Bonus. Company Car or Car Allowance. Pension. Private Medical Cover. Life Assurance. 25 Days Holiday. Full and …more",,https://www.cv-library.co.uk/logo/small/9be6faad226a4e3287f1ee90df4ef6d4,https://www.cv-library.co.uk/job/223342255/Field-Service-Engineer-Medical-X-Ray-CT-Systems/apply,UK,cv_library,2025-04-13T14:20:42.704863
Head Chef,,,CV34,,https://www.cv-library.co.uk/job/223291183,Royal Shakespeare Company,"Field Service Engineer, Medical X-Ray & CT Systems. Overall Earnings £55,000 to £60,000 (Including Bonus and Overtime. Basic Salary £40,000 to £45,000. Door to Door Overtime. 10% Bonus. Company Car or Car Allowance. Pension. Private Medical Cover. Life Assurance. 25 Days Holiday. Full and …more",,https://www.cv-library.co.uk/logo/small/6ada1a0d68ed4e1f8b0f7c783f7aaf86,https://www.cv-library.co.uk/job/223342255/Field-Service-Engineer-Medical-X-Ray-CT-Systems/apply,UK,cv_library,2025-04-13T14:20:42.743946
In Work Support Worker (Job Coach),,£15/hour,London,,https://www.cv-library.co.uk/job/223328550,Action on Disability,"Job Role: Stonemason. Area: Canterbury. Salary: £30,000 - £40,000 DOE. I am working with a leading supplier of fully bespoke headstones and memorials. Responsibilities include. Production and finishing of memorial stones. Sandblasting. Padding stones. Memorial Installation. Gilding and painting …more",,https://www.cv-library.co.uk/logo/small/ef6d885032dc470880b721ebfa84e898,https://www.cv-library.co.uk/job/223341002/Stonemason-Canterbury/apply,UK,cv_library,2025-04-13T14:20:50.322882
Sourcing Manager,,,WA16 6EZ,,https://www.cv-library.co.uk/job/223328068,Barclays Bank PLC,"Job Role: Stonemason. Area: Canterbury. Salary: £30,000 - £40,000 DOE. I am working with a leading supplier of fully bespoke headstones and memorials. Responsibilities include. Production and finishing of memorial stones. Sandblasting. Padding stones. Memorial Installation. Gilding and painting …more",,https://www.cv-library.co.uk/logo/small/87b0f0f4e0454b8f84d9dec499dfeb57,https://www.cv-library.co.uk/job/223341002/Stonemason-Canterbury/apply,UK,cv_library,2025-04-13T14:20:50.856564
